section,date,title,url
Regulations,"Dec 04, 2025","Securities and Exchange Board of India (Share Based Employee Benefits and Sweat Equity) (Second Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-share-based-employee-benefits-and-sweat-equity-second-amendment-regulations-2025_98214.html
Regulations,"Dec 03, 2025","Securities and Exchange Board of India (Foreign Venture Capital Investors) Regulations, 2000 [Last amended on December 3, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-foreign-venture-capital-investors-regulations-2000-last-amended-on-december-3-2025-_98241.html
Regulations,"Dec 03, 2025","Securities and Exchange Board of India (Foreign Portfolio Investors) Regulations, 2019 [Last amended on December 3, 2025]",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-foreign-portfolio-investors-regulations-2019-last-amended-on-december-3-2025-_98240.html
Regulations,"Dec 03, 2025","Securities and Exchange Board of India (Foreign Venture Capital Investors) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-foreign-venture-capital-investors-amendment-regulations-2025_98146.html
Regulations,"Dec 03, 2025","Securities and Exchange Board of India (Foreign Portfolio Investors) (Second Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/dec-2025/securities-and-exchange-board-of-india-foreign-portfolio-investors-second-amendment-regulations-2025_98144.html
Regulations,"Nov 25, 2025","Securities and Exchange Board of India (Research Analysts) Regulations, 2014 [Last amended on November 25, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-research-analysts-regulations-2014-last-amended-on-november-25-2025-_98248.html
Regulations,"Nov 25, 2025","Securities and Exchange Board of India (Investment Advisers) Regulations, 2013 and Securities [Last amended on November 25, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-investment-advisers-regulations-2013-and-securities-last-amended-on-november-25-2025-_98246.html
Regulations,"Nov 25, 2025","Securities and Exchange Board of India (Research Analysts) (Second Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-research-analysts-second-amendment-regulations-2025_97961.html
Regulations,"Nov 25, 2025","Securities and Exchange Board of India (Investment Advisers) (Second Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-investment-advisers-second-amendment-regulations-2025_97960.html
Regulations,"Nov 22, 2025","Securities Contracts (Regulation) (Stock Exchanges and Clearing Corporations) Regulations 2018 [Last amended on November 22, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-contracts-regulation-stock-exchanges-and-clearing-corporations-regulations-2018-last-amended-on-november-22-2025-_98205.html
Regulations,"Nov 22, 2025","Securities and Exchange Board of India (Depositories and Participants) Regulations 2018 [Last amended on November 22, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-depositories-and-participants-regulations-2018-last-amended-on-november-22-2025-_98196.html
Regulations,"Nov 22, 2025","Securities and Exchange Board of India (Depositories and Participants) (Third Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-depositories-and-participants-third-amendment-regulations-2025_98108.html
Regulations,"Nov 22, 2025","Securities Contracts (Regulation) (Stock Exchanges and Clearing Corporations) (Fourth Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-contracts-regulation-stock-exchanges-and-clearing-corporations-fourth-amendment-regulations-2025_98107.html
Regulations,"Nov 19, 2025","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirement) Regulations, 2015 [Last amended on November 19, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirement-regulations-2015-last-amended-on-november-19-2025-_98010.html
Regulations,"Nov 19, 2025","Securities and Exchange Board of India (Alternative Investment Funds) Regulations, 2012 [Last amended on November 19, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-alternative-investment-funds-regulations-2012-last-amended-on-november-19-2025-_97988.html
Regulations,"Nov 19, 2025","Securities and Exchange Board of India (Alternative Investment Funds) (Third Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-alternative-investment-funds-third-amendment-regulations-2025_97986.html
Regulations,"Nov 19, 2025","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) (Fifth Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-fifth-amendment-regulations-2025_97840.html
Regulations,"Nov 01, 2025","Securities and Exchange Board of India (Mutual Funds) Regulations, 1996 [Last amended on November 01, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-mutual-funds-regulations-1996-last-amended-on-november-01-2025-_99120.html
Regulations,"Nov 01, 2025","Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018 [Last amended on November 01, 2025]",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-regulations-2018-last-amended-on-november-01-2025-_97730.html
Regulations,"Nov 01, 2025","Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) (Third Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-third-amendment-regulations-2025_97635.html
Regulations,"Nov 01, 2025","Securities and Exchange Board of India (Mutual Funds) (Second Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/nov-2025/securities-and-exchange-board-of-india-mutual-funds-second-amendment-regulations-2025_97594.html
Regulations,"Oct 28, 2025","Securities and Exchange Board of India (Issue and Listing of Non-Convertible Securities) Regulations, 2021 [Last amended on October 28, 2025]",https://www.sebi.gov.in/legal/regulations/oct-2025/securities-and-exchange-board-of-india-issue-and-listing-of-non-convertible-securities-regulations-2021-last-amended-on-october-28-2025-_97902.html
Regulations,"Oct 28, 2025","Securities and Exchange Board of India (Issue and Listing of Non-Convertible Securities) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/oct-2025/securities-and-exchange-board-of-india-issue-and-listing-of-non-convertible-securities-amendment-regulations-2025_97593.html
Regulations,"Oct 27, 2025","Securities and Exchange Board of India (Debenture Trustees) Regulations, 1993 [Last amended on October 27, 2025]",https://www.sebi.gov.in/legal/regulations/oct-2025/securities-and-exchange-board-of-india-debenture-trustees-regulations-1993-last-amended-on-october-27-2025-_97887.html
Regulations,"Oct 27, 2025","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 [Last amended on October 27, 2025]",https://www.sebi.gov.in/legal/regulations/oct-2025/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-regulations-2015-last-amended-on-october-27-2025-_97792.html
Regulations,"Oct 27, 2025","Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) (Fourth Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/oct-2025/securities-and-exchange-board-of-india-listing-obligations-and-disclosure-requirements-fourth-amendment-regulations-2025_97591.html
Regulations,"Oct 27, 2025","Securities and Exchange Board of India (Debenture Trustees) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/oct-2025/securities-and-exchange-board-of-india-debenture-trustees-amendment-regulations-2025_97589.html
Regulations,"Sep 23, 2025","Securities and Exchange Board of India (Custodian) Regulations, 1996 [Last amended on September 23, 2025]",https://www.sebi.gov.in/legal/regulations/sep-2025/securities-and-exchange-board-of-india-custodian-regulations-1996-last-amended-on-september-23-2025-_96871.html
Regulations,"Sep 23, 2025","Securities and Exchange Board of India (Custodian) (Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/sep-2025/securities-and-exchange-board-of-india-custodian-amendment-regulations-2025_96820.html
Regulations,"Sep 09, 2025","Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018 [Last amended on September 09, 2025]",https://www.sebi.gov.in/legal/regulations/sep-2025/securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-regulations-2018-last-amended-on-september-09-2025-_96753.html
Regulations,"Sep 09, 2025","Securities and Exchange Board of India (Alternative Investment Funds) Regulations 2012 [Last amended on September 09, 2025]",https://www.sebi.gov.in/legal/regulations/sep-2025/securities-and-exchange-board-of-india-alternative-investment-funds-regulations-2012-last-amended-on-september-09-2025-_96597.html
Regulations,"Sep 09, 2025","Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/sep-2025/securities-and-exchange-board-of-india-alternative-investment-funds-second-amendment-regulations-2025_96533.html
Regulations,"Sep 09, 2025","Securities and Exchange Board of India (Issue of Capital and Disclosure Requirements) (Second Amendment) Regulations, 2025",https://www.sebi.gov.in/legal/regulations/sep-2025/securities-and-exchange-board-of-india-issue-of-capital-and-disclosure-requirements-second-amendment-regulations-2025_96524.html
